run_id,script,split,top_percent,held_out_games_seed,seed,test_mae_macro,test_rmse_macro,test_column_pearson_mean,test_row_cosine_mean,test_r2_pooled,retrieval_cosine_hit_rate,retrieval_rmse_hit_rate,retrieval_mae_hit_rate,epochs_ran
run_019_autoreg_light_budget,mlp_autoreg_lags,leave_games_out,35.0,17,40,0.45640368460620867,0.8187618255615234,0.22557951176344693,0.9940047786021844,-0.4524954612353651,0.6089743589743589,0.5653846153846154,0.5153846153846153,32
run_002_lstm,lstm,leave_games_out,35.0,17,40,0.47324129120023856,0.8181135058403015,0.12153771079737738,0.9937941376215372,-0.1160525710136937,0.6012820512820513,0.5820512820512821,0.6076923076923076,43
run_008_mlp_hugelags,mlp_lags,leave_games_out,35.0,17,41,0.503625800063363,0.9052694439888,0.05816151624490175,0.99365190748985,-0.5641656503771009,0.5769230769230769,0.47307692307692306,0.4717948717948718,41
run_017_tcn_lag8_softer,tcn,leave_games_out,35.0,17,41,0.4878754640010733,0.85597163438797,0.17573842571888987,0.9939922398481613,-0.2951879846992287,0.5743589743589743,0.5358974358974359,0.5551282051282052,63
run_018_tf_small_win,transformer_window,leave_games_out,35.0,17,41,0.5047877921343497,0.858568012714386,0.022898132878659928,0.9939726104338964,-0.25211956082418996,0.573076923076923,0.514102564102564,0.5461538461538461,110
run_001_mlp_autoreg_lags,mlp_autoreg_lags,leave_games_out,35.0,17,40,0.4888815327494587,0.844831109046936,0.3197867510850852,0.9942019932545149,-0.25822335779602734,0.5705128205128205,0.5846153846153846,0.5384615384615384,44
run_003_tcn,tcn,leave_games_out,35.0,17,40,0.49654645174738715,0.8678532838821411,0.1709701208400915,0.9940089354148278,-0.4214024009398232,0.5564102564102564,0.5051282051282051,0.5448717948717948,85
run_012_lstm_like002_seed39,lstm,leave_games_out,35.0,17,39,0.45467933456536125,0.8177226781845093,0.20297877648608767,0.9938038871838496,-0.09477772929322925,0.5551282051282052,0.5820512820512821,0.5602564102564103,45
run_006_tcn,tcn,leave_games_out,35.0,17,41,0.5435739195361755,0.8953065872192383,0.1825492559196411,0.9932334712682627,-0.08527506316039912,0.5551282051282052,0.5820512820512821,0.6012820512820513,37
run_005_lstm,lstm,leave_games_out,35.0,17,41,0.6715040439474658,1.027238130569458,0.17176525011218707,0.9916461461629623,-0.1214894598884999,0.5551282051282052,0.5820512820512821,0.5128205128205128,21
run_014_lstm_lag6_compact,lstm,leave_games_out,35.0,17,40,0.4512952376551468,0.8139718770980835,0.15519392205467503,0.9938360986801295,-0.1690662691784237,0.5551282051282052,0.5820512820512821,0.6076923076923076,35
run_013_lstm_like002_seed41,lstm,leave_games_out,35.0,17,41,0.48002200484909335,0.8278681039810181,0.14499506722564484,0.9938664835232954,-0.027546192812158088,0.5551282051282052,0.5487179487179488,0.5576923076923077,18
run_009_lstm,lstm,leave_games_out,35.0,17,39,0.44437281900890574,0.8031139373779297,0.09547949490646976,0.9939363868572773,-0.15469410471831457,0.5551282051282052,0.5820512820512821,0.558974358974359,59
run_001_mlp_biglags,mlp_lags,leave_games_out,35.0,17,40,0.49482670305577103,0.8893192410469055,0.11007041486664684,0.9924388337211731,-0.6527789777045763,0.5397435897435897,0.4346153846153846,0.4371794871794872,90
run_007_transformer_window,transformer_window,leave_games_out,35.0,17,41,0.5306448252920608,0.8707958459854126,-0.0010557947438767866,0.9939665525387495,-0.2257975842987212,0.5397435897435897,0.5358974358974359,0.55,84
run_010_tcn,tcn,leave_games_out,35.0,17,41,0.6026412201993566,0.9660787582397461,0.15019856873773776,0.9932149725846755,-0.03731947820812542,0.4858974358974359,0.6397435897435897,0.5551282051282052,33
run_004_transformer_window,transformer_window,leave_games_out,35.0,17,40,0.5446762711015098,0.8868584632873535,0.0009068588004324224,0.9936311662197113,-0.5142325194232764,0.4371794871794872,0.36153846153846153,0.3769230769230769,100
run_011_transformer_window,transformer_window,leave_games_out,35.0,17,41,0.5525733810545365,0.8979131579399109,0.004060763949680519,0.9935560387678636,-0.5255234017657278,0.4358974358974359,0.2935897435897436,0.37051282051282053,138
